LAP_NUMBER, Car_A_Num, Car_Ahead_P1_Num, Gap_At_P1            , Car_A_T11_Time    , Car_B_T11_Time    , T11_Time_Diff       , Car_A_Exit_Speed, Car_B_Exit_Speed, Exit_Speed_Diff    , Successful_Pass
         2,         5,             71.0, 0.17600000000000193  , 10.599            , 10.593            , 0.006000000000000227,           197.37,           186.84, 10.530000000000001 ,               0
         3,         2,             46.0, 0.01500000000001478  , 11.337000000000003, 12.780999999999999, -1.4439999999999955 ,           126.59,           132.63, -6.039999999999992 ,               1
         3,        72,              2.0, 0.0010000000000047748, 11.390999999999998, 11.337000000000003, 0.05399999999999494 ,           127.55,           126.59, 0.9599999999999937 ,               0
         3,        72,              2.0, 0.0010000000000047748, 11.390999999999998, 11.337000000000003, 0.05399999999999494 ,           127.55,           126.59, 0.9599999999999937 ,               0
         3,        31,              7.0, 0.23799999999999955  , 11.233999999999995, 12.203000000000003, -0.9690000000000083 ,           131.02,           130.71, 0.3100000000000023 ,               0
         3,         5,             71.0, 0.03200000000001069  , 10.921            , 10.755000000000003, 0.16599999999999682 ,           120.95,           122.61, -1.6599999999999966,               0
         6,        72,             21.0, 0.10999999999998522  , 10.631999999999998, 10.947            , -0.3150000000000013 ,           197.55,           194.02, 3.530000000000001  ,               0
         6,        46,             72.0, 0.07500000000000284  , 10.508000000000003, 10.631999999999998, -0.12399999999999523,           190.62,           197.55, -6.930000000000007 ,               0
        10,        46,             72.0, 0.13299999999999557  , 10.587            , 10.565000000000001, 0.021999999999998465,           196.74,           195.74, 1.0                ,               0
        10,         2,              7.0, 0.042999999999992156 , 10.364            , 10.712            , -0.347999999999999  ,           193.69,           194.65, -0.960000000000008 ,               0
        10,        21,              2.0, 0.25799999999999557  , 10.693000000000001, 10.364            , 0.3290000000000006  ,           196.74,           193.69, 3.0500000000000114 ,               0
        12,        12,             93.0, 0.4860000000000042   , 11.158999999999999, 10.441000000000003, 0.7179999999999964  ,           189.86,           194.51, -4.649999999999977 ,               0
        13,        72,             21.0, 0.1319999999999908   , 10.535            , 10.828999999999997, -0.29399999999999693,           194.68,           194.29, 0.3900000000000148 ,               0
        13,        13,             55.0, 0.03100000000000591  , 10.444000000000003, 10.385000000000002, 0.05900000000000105 ,           197.48,           198.9 , -1.420000000000016 ,               1
        17,        41,             31.0, 0.07500000000000284  , 10.728000000000002, 10.814            , -0.08599999999999852,           191.73,           198.05, -6.320000000000022 ,               0
        19,        31,             21.0, 0.05100000000000193  , 10.639            , 11.026            , -0.38700000000000045,           197.75,           195.05, 2.6999999999999886 ,               0
        19,       113,             31.0, 0.125                , 10.777999999999999, 10.639            , 0.13899999999999935 ,           192.83,           197.75, -4.9199999999999875,               0
        20,        71,             13.0, 0.29999999999999716  , 10.648999999999997, 10.979            , -0.33000000000000185,           194.72,           194.12, 0.5999999999999943 ,               0
        20,        71,             13.0, 0.29999999999999716  , 10.648999999999997, 10.979            , -0.33000000000000185,           194.72,           194.12, 0.5999999999999943 ,               0
        20,        71,             13.0, 0.29999999999999716  , 10.648999999999997, 10.979            , -0.33000000000000185,           194.72,           194.12, 0.5999999999999943 ,               0
        20,        71,             13.0, 0.29999999999999716  , 10.648999999999997, 10.979            , -0.33000000000000185,           194.72,           194.12, 0.5999999999999943 ,               0
